CityNumber,CityName,Country,Max Temperature,Latitude,Longitude,Humidity (%),Cloudness (%),WindSpeed
3157799,Farsund,NO,44.21,58.09,6.8,100,36,20.04
556268,Ostrovnoy,RU,19.78,68.05,39.51,88,36,28.32
2021188,Kurumkan,RU,1.24,54.33,110.32,79,76,1.03
934479,Grand Gaube,MU,78.8,-20.01,57.66,94,75,6.93
1528998,Yumen,CN,10.06,40.29,97.04,68,0,10.42
1259385,Port Blair,IN,80.39,11.67,92.75,100,56,11.77
3838859,Rio Gallegos,AR,55.4,-51.62,-69.22,71,0,3.15
1861280,Itoman,JP,71.6,26.12,127.67,78,75,11.41
2618795,Klaksvik,FO,42.8,62.23,-6.59,100,56,9.17
685981,Manta,RO,26.71,45.1,24.1,91,92,5.17
2315026,Kasongo-Lunda,CD,69.73,-6.48,16.82,96,76,2.15
3031582,Saint-Augustin,FR,32.0,44.83,-0.61,100,20,3.36
3883214,Limache,CL,64.4,-33.0,-71.27,76,0,5.82
2214433,Nalut,LY,34.58,31.86,10.98,87,24,3.94
2270385,Camacha,PT,59.0,33.08,-16.33,62,75,3.36
3899695,Ancud,CL,46.4,-41.87,-73.83,87,12,4.7
86049,Jalu,LY,34.4,29.03,21.55,63,0,2.93
711134,Burshtyn,UA,21.2,49.25,24.63,92,75,4.47
3386213,Touros,BR,77.0,-5.2,-35.46,88,20,3.36
1257477,Sanchor,IN,53.08,24.76,71.77,73,0,2.37
1814934,Jiangkou,CN,41.33,30.7,117.56,100,92,3.94
6541893,Terracina,IT,30.49,41.29,13.25,100,44,3.71
1263532,Margherita,IN,59.0,27.29,95.67,87,0,3.36
931755,Blantyre,MW,71.03,-15.79,35.0,94,56,4.38
518912,Novodugino,RU,7.4,55.63,34.3,83,56,4.05
1691355,Sabang,PH,78.59,13.72,123.58,92,92,12.1
2132606,Samarai,PG,84.67,-10.62,150.67,99,0,12.21
1861416,Ishigaki,JP,78.8,24.34,124.16,88,75,11.41
1499053,Megion,RU,-22.01,61.04,76.11,74,40,4.47
1254133,Tuensang,IN,55.33,26.24,94.81,70,0,2.48
780687,Berlevag,NO,27.2,70.86,29.09,100,12,13.33
1489853,Tazovskiy,RU,-29.64,67.47,78.7,0,36,3.15
2236967,Soyo,AO,74.68,-6.13,12.37,98,76,2.04
4017743,Badiraguato,MX,73.4,25.36,-107.55,73,75,2.15
1626932,Singaraja,ID,82.69,-8.11,115.08,82,32,1.59
2121373,Seymchan,RU,-20.41,62.93,152.39,85,64,3.15
2145554,Ulladulla,AU,78.8,-35.36,150.48,74,90,10.29
2015306,Tiksi,RU,-31.84,71.64,128.87,0,64,3.94
5954718,Flin Flon,CA,4.12,54.77,-101.88,79,80,6.51
520798,Nizhniy Baskunchak,RU,12.94,48.22,46.83,85,80,4.05
2264923,Peniche,PT,46.4,39.36,-9.38,52,0,12.75
2337542,Naze,NG,75.22,5.43,7.07,87,8,9.19
2737599,Saldanha,PT,21.98,41.42,-6.55,88,0,5.61
3359638,Walvis Bay,NA,57.2,-22.95,14.51,82,0,3.36
6165406,Thompson,CA,-9.41,55.74,-97.86,76,40,6.93
1282256,Hithadhoo,MV,80.98,-0.6,73.08,100,88,2.93
2155415,New Norfolk,AU,80.6,-42.78,147.06,18,0,11.41
2172880,Byron Bay,AU,91.4,-28.65,153.62,65,20,16.11
3437029,San Patricio,PY,75.76,-26.98,-56.83,94,56,2.48
3840092,Puerto Madryn,AR,62.3,-42.77,-65.04,71,0,24.85
3198050,Potoci,BA,21.67,44.39,16.62,82,92,4.38
3471451,Arraial do Cabo,BR,76.79,-22.97,-42.02,88,24,17.02
3877146,Parral,CL,59.0,-36.14,-71.82,67,0,3.36
2644487,Lincoln,GB,44.6,53.23,-0.54,87,90,9.17
3119841,Beira,ES,42.8,43.2,-8.36,60,0,3.36
1337388,Samdrup Jongkhar,IN,51.68,26.8,91.5,59,0,2.04
4535823,Elk City,US,42.08,35.41,-99.4,65,1,12.75
3924872,Presidente Medici,BR,71.08,-11.18,-61.9,95,80,2.26
4036284,Alofi,NU,80.6,-19.06,-169.92,88,90,21.16
2271968,Aljezur,PT,47.63,37.31,-8.8,100,0,14.12
2316748,Bolobo,CD,74.45,-2.17,16.23,93,88,2.37
2109528,Buala,SB,83.86,-8.15,159.59,90,92,3.15
3420768,Qasigiannguit,GL,-9.41,68.82,-51.19,63,0,4.7
3137942,Sola,NO,46.4,58.89,5.65,93,75,20.8
4787534,Sterling,US,30.92,39.0,-77.4,57,1,17.22
2112802,Hasaki,JP,51.8,35.73,140.83,29,20,17.22
1856057,Nakamura,JP,51.8,35.17,136.87,50,75,25.28
1605279,Trat,TH,84.2,12.25,102.51,83,20,2.24
3393692,Itarema,BR,73.51,-2.92,-39.92,94,92,3.6
3533462,Acapulco,MX,82.4,16.86,-99.88,58,20,10.29
3571913,Marsh Harbour,BS,70.13,26.54,-77.06,100,56,12.66
2090021,Namatanai,PG,87.05,-3.66,152.44,89,0,13.0
1254046,Tura,IN,59.78,25.52,90.21,82,0,3.83
6111696,Port-Cartier,CA,23.0,50.03,-66.88,79,90,8.05
178522,Voi,KE,65.45,-3.4,38.57,91,12,2.59
3867427,Mayor Pablo Lagerenza,PY,86.74,-19.93,-60.77,52,44,12.44
2988507,Paris,FR,39.2,48.86,2.35,95,90,2.24
1685422,Sulangan,PH,81.16,11.14,123.72,95,64,19.15
4699066,Houston,US,55.94,29.76,-95.37,50,1,6.17
2630299,Hofn,IS,37.19,64.25,-15.21,100,88,14.45
3465713,Conde,BR,78.41,-11.81,-37.61,89,100,6.62
6096551,Pangnirtung,CA,-26.85,66.15,-65.72,42,0,3.27
585231,Corlu,AZ,37.4,40.93,47.73,93,90,4.7
5961417,Husavik,CA,11.54,50.56,-96.99,88,88,7.74
4463053,Davidson,US,35.06,35.5,-80.85,51,1,5.82
2267254,Lagoa,PT,50.0,37.14,-8.45,53,0,13.87
3616584,San Ramon,NI,65.45,12.92,-85.84,92,48,2.04
5380437,Pacific Grove,US,53.6,36.62,-121.92,86,1,3.36
3466980,Caravelas,BR,79.85,-17.73,-39.27,100,68,10.2
4613868,Clarksville,US,30.2,36.53,-87.36,62,1,4.7
1492281,Shelabolikha,RU,-11.21,53.41,82.62,76,24,4.05
1259994,Payyannur,IN,79.99,12.1,75.2,100,20,5.39
916246,Kabompo,ZM,68.29,-13.6,24.21,90,44,6.4
3421982,Maniitsoq,GL,6.05,65.42,-52.9,100,0,6.51
1337619,Ugoofaaru,MV,81.29,5.67,73.0,100,0,9.31
3465342,Puerto Suarez,BO,79.18,-18.96,-57.8,77,20,2.48
5942913,Dryden,CA,5.0,49.79,-92.84,84,90,6.93
1268814,Joshimath,IN,8.89,30.57,79.57,92,80,0.81
3448903,Sao Joao da Barra,BR,78.95,-21.64,-41.05,97,20,12.21
1687623,Santo Nino,PH,82.4,15.34,120.63,61,75,6.93
1495586,Parabel,RU,-18.07,58.71,81.5,80,12,4.72
2522890,Tortoli,IT,44.6,39.93,9.66,65,5,23.04
546060,Koltubanovskiy,RU,4.12,52.94,52.03,81,68,4.16
2063042,Port Hedland,AU,93.2,-20.31,118.58,63,0,14.99
4034496,Fare,PF,82.28,-16.7,-151.02,100,80,12.44
3146487,Raudeberg,NO,42.8,61.99,5.14,100,88,18.34
1185100,Nawabganj,BD,60.8,23.66,90.19,82,0,3.36
5484874,Portales,US,51.08,34.19,-103.33,60,90,12.75
2409914,Bonthe,SL,77.96,7.53,-12.5,88,0,4.61
3652764,Puerto Ayora,EC,76.12,-0.74,-90.35,100,32,5.95
1990589,Teluknaga,ID,84.2,-6.1,106.64,74,40,8.05
3424607,Tasiilaq,GL,19.4,65.61,-37.64,73,80,17.22
5043473,Rochester,US,24.8,44.02,-92.46,77,1,14.99
4032369,Pangai,TO,84.2,-19.8,-174.35,83,20,9.17
3938531,Iberia,PE,74.99,-11.41,-69.49,100,68,1.36
1507390,Dikson,RU,-19.02,73.51,80.55,100,24,5.73
921786,Mitsamiouli,KM,78.8,-11.38,43.28,78,75,4.7
584596,Zaqatala,AZ,28.4,41.63,46.65,79,20,4.7
2068110,Kununurra,AU,96.8,-15.77,128.74,53,0,8.05
3946820,Barranca,PE,72.34,-10.75,-77.76,100,48,7.29
1803841,Lianzhou,CN,46.1,24.79,112.38,98,92,2.59
1337239,Pirganj,BD,58.7,25.85,88.36,73,0,4.5
1056151,Mananjary,MG,63.07,-19.16,46.8,99,92,3.15
467711,Yelovo,RU,13.84,57.05,54.92,86,88,6.62
2436400,Ati,TD,63.11,13.21,18.34,41,0,7.63
2725123,Tobol,SE,30.2,59.83,12.54,100,36,2.24
4030556,Rikitea,PF,79.72,-23.12,-134.97,99,44,16.46
1848976,Wajima,JP,39.2,37.4,136.9,51,75,4.7
2398283,Mitzic,GA,69.23,0.78,11.55,100,80,2.48
110690,Abha,SA,51.8,18.22,42.5,93,0,2.37
2122605,Okhotsk,RU,-8.22,59.36,143.24,100,0,9.19
3618337,Rosita,NI,70.49,13.92,-84.4,86,0,3.38
2126785,Belaya Gora,RU,-32.52,68.54,146.19,0,32,3.15
2160063,Codrington,AU,89.6,-28.95,153.24,40,40,17.22
4893070,Franklin Park,US,24.8,41.94,-87.87,74,40,3.6
2063036,Port Lincoln,AU,82.28,-34.72,135.86,53,92,11.99
2377457,Nouadhibou,MR,60.05,20.93,-17.03,71,0,12.21
4407665,Kodiak,US,35.06,39.95,-94.76,63,90,8.05
6111862,Port Hardy,CA,46.4,50.7,-127.42,87,90,23.04
5126209,Mastic Beach,US,30.92,40.77,-72.85,53,1,18.34
3831208,Qaanaaq,GL,-18.3,77.48,-69.36,100,24,8.52
545982,Kolyshley,RU,5.56,52.7,44.54,82,80,8.97
2175403,Bluff,AU,80.17,-23.58,149.07,76,92,10.42
2181625,Te Anau,NZ,58.93,-45.41,167.72,49,44,9.19
5960603,Geraldton,CA,-4.01,49.72,-86.95,64,90,2.24
1803936,Wuwei,CN,22.12,37.93,102.64,38,0,7.96
2121126,Smirnykh,RU,9.29,49.74,142.83,48,0,14.0
5427957,Lamar,US,37.94,38.09,-102.62,46,1,8.05
1277214,Banswara,IN,52.04,23.55,74.45,72,0,9.53
3393471,Oriximina,BR,74.14,-1.77,-55.87,98,88,2.59
2206890,Masterton,NZ,73.96,-40.95,175.66,52,44,10.98
4317639,Bossier City,US,47.48,32.52,-93.73,49,1,3.36
286245,Sur,OM,70.85,22.57,59.53,100,8,2.48
5530452,Seminole,US,50.36,32.72,-102.64,78,1,4.7
2449067,Timbuktu,ML,50.51,16.77,-3.01,55,0,3.38
3177094,Ferrandina,IT,33.8,40.5,16.45,86,40,10.29
964432,Port Alfred,ZA,65.77,-33.59,26.89,95,64,6.06
2082539,Merauke,ID,85.7,-8.49,140.4,87,20,9.42
3066743,Rotava,CZ,19.4,50.3,12.57,92,75,3.94
2246550,Dagana,MR,68.0,16.52,-15.51,22,0,2.24
2514651,Los Llanos de Aridane,ES,60.8,28.66,-17.92,59,75,6.93
934971,Mhlambanyatsi,SZ,63.88,-26.45,31.02,95,48,2.48
2302357,Cape Coast,GH,75.04,5.11,-1.24,91,8,2.71
3583178,San Vicente,SV,82.4,13.64,-88.78,45,0,6.93
5922281,Chute-aux-Outardes,CA,23.0,49.12,-68.38,67,90,11.41
128008,Khalkhal,IR,11.09,37.62,48.53,55,0,2.48
8010472,Belmonte,PT,26.17,40.36,-7.35,58,0,6.73
2228373,Maroua,CM,66.2,10.6,14.33,39,0,5.82
1682474,Ternate,PH,86.0,14.29,120.72,58,40,11.41
2163355,Hobart,AU,80.6,-42.88,147.33,18,0,11.41
2065594,Mount Isa,AU,102.2,-20.73,139.49,29,0,13.87
3137469,Sorland,NO,41.6,67.67,12.69,100,92,57.29
3576994,Cockburn Town,TC,74.32,21.46,-71.14,100,12,12.66
595020,Salantai,LT,28.4,56.06,21.57,92,88,12.75
1693303,Pitogo,PH,80.98,13.79,122.09,94,0,13.89
124274,Mehriz,IR,30.2,31.58,54.44,26,0,2.24
2649784,Eyemouth,GB,46.4,55.87,-2.09,70,48,9.17
344979,Lebu,ET,46.4,8.96,38.73,61,0,5.82
4021858,Guerrero Negro,MX,52.09,27.97,-114.04,100,0,4.61
1161724,Chabahar,IR,71.03,25.29,60.65,100,8,13.22
5243770,Allouez,US,21.2,44.48,-88.02,67,40,2.71
6322184,Porto Novo,BR,73.4,-23.68,-45.44,88,40,4.7
5850554,Makakilo City,US,78.98,21.35,-158.09,83,90,9.17
3839307,Rawson,AR,58.79,-43.3,-65.11,32,0,13.22
2017155,Saskylakh,RU,-40.75,71.97,114.09,0,56,3.15
712587,Novikovo,UA,41.51,45.05,34.56,98,88,15.57
3458696,Lavras,BR,65.77,-21.24,-45.0,80,44,4.16
1714733,Dingle,PH,81.61,11.0,122.67,71,32,17.25
1168312,Pasni,PK,70.49,25.26,63.48,97,12,6.29
2022572,Khatanga,RU,-42.6,71.98,102.47,0,12,4.94
2611060,Tvoroyri,FO,42.8,61.56,-6.81,100,56,9.17
1852357,Shimoda,JP,53.6,34.7,138.93,54,75,9.17
1636722,Malang,ID,87.8,-7.98,112.63,74,20,6.93
262462,Saint George,GR,41.0,39.45,22.34,80,40,6.93
2312895,Mbandaka,CD,73.64,0.05,18.26,96,20,2.15
2126123,Chokurdakh,RU,-38.19,70.62,147.9,0,32,3.15
3608828,Iralaya,HN,76.7,15.0,-83.23,87,68,7.29
2212775,Sabha,LY,40.79,27.03,14.43,58,0,9.42
2094342,Kavieng,PG,83.63,-2.57,150.8,100,48,7.63
1040652,Maputo,MZ,78.8,-25.97,32.57,78,75,13.87
493795,Shonguy,RU,24.8,68.75,33.15,79,40,8.95
4033356,Tiarei,PF,80.6,-17.53,-149.33,74,75,8.05
662476,Runcu,RO,30.2,44.59,26.21,92,90,4.7
1496503,Noyabrsk,RU,-18.61,63.2,75.45,81,20,6.73
2121025,Srednekolymsk,RU,-27.7,67.46,153.71,44,56,2.59
236950,Obo,CF,59.6,5.39,26.49,72,0,6.62
1733782,Victoria,BN,87.8,5.28,115.24,66,75,9.17
2093967,Kimbe,PG,85.16,-5.56,150.15,92,32,5.73
3366880,Hermanus,ZA,49.21,-34.42,19.24,95,0,4.16
215976,Ilebo,CD,73.87,-4.33,20.59,92,76,2.15
141736,Bam,IR,31.66,29.11,58.36,50,0,4.94
945945,Upington,ZA,64.4,-28.46,21.24,42,0,2.24
3013748,Hauterive,FR,30.2,46.09,3.45,80,90,3.36
331038,Mendi,ET,48.71,9.8,35.1,74,0,2.26
499025,Samoded,RU,19.28,63.61,40.52,76,80,13.22
3421719,Narsaq,GL,13.61,60.91,-46.05,59,32,3.83
4014338,Chihuahua,MX,59.0,28.66,-106.08,58,75,2.37
3833859,Barrow,AR,48.08,-38.31,-60.23,80,0,2.71
5742974,North Bend,US,51.08,43.41,-124.22,92,40,5.82
1524298,Aksu,KZ,-14.81,52.04,76.93,83,90,2.24
3456277,Nobres,BR,75.44,-14.72,-56.34,84,48,3.71
6167817,Torbay,CA,37.4,47.66,-52.73,93,90,3.36
1638775,Payo,ID,83.36,-3.75,103.64,93,24,4.94
334700,Hirna,ET,37.01,9.22,41.1,78,0,2.15
287832,Ibra,OM,54.52,22.69,58.55,96,12,2.71
4978701,Skowhegan,US,17.96,44.77,-69.72,67,1,14.99
1847947,Shingu,JP,51.8,33.72,135.99,50,75,18.34
3887344,Illapel,CL,52.54,-31.63,-71.17,100,0,3.6
934322,Mahebourg,MU,78.8,-20.41,57.7,94,75,6.93
5713587,Bend,US,39.2,44.06,-121.32,78,1,5.82
6295855,Saint-Georges,CA,19.69,46.12,-70.67,64,76,10.65
2077895,Alice Springs,AU,102.2,-23.7,133.88,17,0,14.99
4020109,Atuona,PF,81.61,-9.8,-139.03,99,20,16.46
1258338,Ratnagiri,IN,75.67,16.98,73.3,100,0,3.71
2122293,Ozernovskiy,RU,17.08,51.5,156.52,100,48,4.05
1106677,Bambous Virieux,MU,78.8,-20.34,57.76,94,75,6.93
2729907,Longyearbyen,NO,15.8,78.22,15.63,66,90,32.21
6089245,Norman Wells,CA,-32.81,65.28,-126.83,66,75,3.36
3372707,Ribeira Grande,PT,59.69,38.52,-28.7,100,88,29.33
3874787,Punta Arenas,CL,53.6,-53.16,-70.91,66,75,12.75
286621,Salalah,OM,68.0,17.01,54.1,68,0,3.36
3870243,Taltal,CL,53.53,-25.41,-70.49,100,0,1.59
2441447,Maine-Soroa,NE,55.46,13.21,12.02,53,0,5.95
3469294,Bonito,BR,75.89,-21.13,-56.49,85,12,3.15
3455065,Paranaiba,BR,76.12,-19.68,-51.19,67,0,7.63
3419842,Sisimiut,GL,-19.33,66.94,-53.67,100,8,2.59
2191562,Dunedin,NZ,62.03,-45.87,170.5,60,0,15.46
3696509,Huamachuco,PE,46.28,-7.82,-78.05,97,92,2.15
